filename,sample_time,r,sample_id,0,1,2,3,4,5,6,7,8
random_1,600,2,11,1,0,0,0,0,0,0,0,0
random_1,600,3,0,37,0,1,0,0,0,0,0,0
random_1,600,3,1,28,0,3,1,0,0,0,0,0
random_1,600,3,2,0,0,23,0,0,1,0,0,0
random_1,600,3,3,0,0,0,0,0,0,0,0,0
random_1,600,3,4,0,0,2,0,0,1,0,0,0
random_1,600,3,5,34,0,0,0,0,0,0,0,0
random_1,600,3,6,0,0,3,0,0,0,0,0,0
random_1,600,3,7,0,0,2,0,0,0,0,0,0
random_1,600,3,8,7,0,12,0,0,0,0,0,0
random_1,600,3,9,0,0,20,0,0,3,0,0,0
random_1,600,3,10,0,0,12,0,0,0,0,0,0
random_1,600,3,11,4,0,1,0,0,0,0,0,0
random_1,600,4,0,61,0,1,0,0,0,0,0,0
random_1,600,4,1,46,0,7,1,0,0,0,0,0
random_1,600,4,2,0,0,34,0,0,1,0,0,0
random_1,600,4,3,0,0,0,0,0,0,0,0,0
random_1,600,4,4,0,0,3,0,0,1,0,0,0
random_1,600,4,5,60,0,0,0,0,0,0,0,0
random_1,600,4,6,0,0,4,0,0,0,0,0,0
random_1,600,4,7,0,0,3,0,0,0,0,0,0
random_1,600,4,8,17,0,16,0,0,0,0,0,0
random_1,600,4,9,0,0,28,0,0,3,0,0,0
random_1,600,4,10,0,0,22,0,0,0,0,0,0
random_1,600,4,11,4,0,1,0,0,0,0,0,0
random_1,600,5,0,96,0,2,0,0,2,0,0,0
random_1,600,5,1,65,0,9,2,0,1,0,0,0
random_1,600,5,2,0,0,48,0,0,3,0,0,0
random_1,600,5,3,0,0,0,0,0,0,0,0,0
random_1,600,5,4,0,0,4,0,0,1,0,0,0
random_1,600,5,5,86,0,0,0,0,0,0,0,0
random_1,600,5,6,0,0,6,0,0,0,0,0,0
random_1,600,5,7,0,0,4,0,0,0,0,0,0
random_1,600,5,8,22,0,24,0,0,0,0,1,0
random_1,600,5,9,0,0,36,0,0,3,0,0,0
random_1,600,5,10,0,0,36,0,0,0,0,0,0
random_1,600,5,11,4,0,1,2,0,0,0,0,0
